deal_id,deal_name,pipeline,is_closed,is_closed_won,amount,close_date,create_date,hubspot_company_id,deal_type,currency,date_entered_pre_pitch,date_entered_pitching,date_entered_product_testing,date_entered_price_offering,date_entered_contract_negotiation,date_entered_closed_won,date_entered_closed_lost
20007022,SurgiSafe AG - Annual License,Sales Pipeline,True,True,7500,2025-11-22 01:58:40,2025-07-31 01:58:40,1003719,newbusiness,EUR,2025-07-31 01:58:40,2025-09-30 01:58:40,,2025-10-02 01:58:40,2025-10-04 01:58:40,2025-10-18 01:58:40,
20007174,TechVita AB - Annual License,Sales Pipeline,True,True,10000,2025-01-08 23:18:20,2024-08-27 23:18:20,1003847,newbusiness,EUR,2024-08-27 23:18:20,2024-10-26 23:18:20,2024-11-28 23:18:20,,2024-12-11 23:18:20,2024-12-12 23:18:20,
20007336,UniMed Oy - Annual License,Sales Pipeline,True,True,5000,2025-10-04 23:43:32,2025-06-20 23:43:32,1004045,newbusiness,EUR,2025-06-20 23:43:32,,,2025-08-05 23:43:32,2025-08-06 23:43:32,2025-08-09 23:43:32,
20007595,VascuTech S.r.l. - Annual License,Sales Pipeline,True,True,15000,2025-05-28 01:34:01,2025-01-16 01:34:01,1004319,newbusiness,EUR,2025-01-16 01:34:01,2025-02-23 01:34:01,,2025-03-01 01:34:01,,2025-04-01 01:34:01,
20007993,VascuTech S.r.l. - Expansion,Sales Pipeline,False,False,10000,,2025-10-24 02:54:02,1004319,existing_business,EUR,2025-10-24 02:54:02,2025-11-24 02:54:02,2025-12-22 02:54:02,2025-12-28 02:54:02,2026-01-14 02:54:02,,
20008185,WellPath d.o.o. - Annual License,Sales Pipeline,True,True,18000,2025-08-28 07:48:39,2025-04-23 07:48:39,1004447,newbusiness,EUR,,2025-04-23 07:48:39,2025-07-03 07:48:39,2025-07-15 07:48:39,2025-08-09 07:48:39,2025-08-21 07:48:39,
20008441,WellPath d.o.o. - Expansion,Sales Pipeline,False,False,10000,,2026-01-11 12:15:33,1004447,existing_business,EUR,2026-01-11 12:15:33,2026-02-06 12:15:33,,,,,
20008589,XenoMed Ltd - Annual License,Sales Pipeline,True,True,15000,2025-04-09 10:29:02,2024-12-25 10:29:02,1004675,newbusiness,EUR,2024-12-25 10:29:02,2025-03-04 10:29:02,2025-03-07 10:29:02,2025-03-08 10:29:02,2025-03-09 10:29:02,2025-03-29 10:29:02,
20008785,ZenithBio Oy - Annual License,Sales Pipeline,True,True,12000,2025-08-29 15:19:07,2025-06-01 15:19:07,1004930,newbusiness,EUR,2025-06-01 15:19:07,,2025-07-05 15:19:07,2025-07-22 15:19:07,,2025-08-08 15:19:07,
20009257,ZenithBio Oy - Upsell,Sales Pipeline,True,True,12000,2025-12-27 15:19:07,2025-11-30 15:19:07,1004930,existing_business,EUR,2025-11-30 15:19:07,2025-12-02 15:19:07,2025-12-08 15:19:07,2025-12-13 15:19:07,,2025-12-23 15:19:07,
20009615,AlphaDevice Inc - Annual License,Sales Pipeline,True,True,18000,2025-02-23 06:00:17,2024-12-06 06:00:17,1005030,newbusiness,EUR,2024-12-06 06:00:17,,,2024-12-20 06:00:17,2025-01-31 06:00:17,2025-02-16 06:00:17,
20009841,BetaLab SAS - Annual License,Sales Pipeline,True,True,25000,2025-04-17 03:54:04,2024-11-20 03:54:04,1005191,newbusiness,EUR,2024-11-20 03:54:04,2025-01-20 03:54:04,2025-02-16 03:54:04,2025-03-15 03:54:04,,2025-04-02 03:54:04,
20009985,CardioSync SAS - Annual License,Sales Pipeline,True,True,12000,2025-04-17 04:49:29,2025-01-11 04:49:29,1005485,newbusiness,EUR,,2025-01-11 04:49:29,2025-02-07 04:49:29,2025-02-21 04:49:29,2025-02-24 04:49:29,2025-03-17 04:49:29,
20010318,DiagnosTech S.r.l. - Opportunity,Sales Pipeline,False,False,10000,,2025-07-08 00:55:14,1005627,newbusiness,EUR,2025-07-08 00:55:14,2025-08-15 00:55:14,,,,,
20010529,EliteMed SAS - Opportunity,Sales Pipeline,False,False,25000,,2025-11-21 09:36:13,1005909,newbusiness,EUR,2025-11-21 09:36:13,2026-01-16 09:36:13,2026-02-05 09:36:13,,,,
20010969,FrontierBio Oy - Opportunity,Sales Pipeline,False,False,25000,,2025-07-12 20:20:33,1006072,newbusiness,EUR,,2025-07-12 20:20:33,2025-08-31 20:20:33,,,,
20011091,GlucoSense GmbH - Opportunity,Sales Pipeline,False,False,10000,,2025-10-18 14:40:00,1006322,newbusiness,EUR,2025-10-18 14:40:00,2025-11-21 14:40:00,2026-02-10 14:40:00,,2026-02-11 14:40:00,,
20011530,HelioCare B.V. - Opportunity,Sales Pipeline,False,False,20000,,2026-01-05 20:00:55,1006439,newbusiness,EUR,2026-01-05 20:00:55,2026-02-28 20:00:55,,,,,
20011645,ImmunoGen AB - Opportunity,Sales Pipeline,False,False,15000,,2025-10-01 18:42:44,1006710,newbusiness,EUR,2025-10-01 18:42:44,2026-01-08 18:42:44,2026-01-20 18:42:44,2026-02-04 18:42:44,2026-02-20 18:42:44,,
20011992,JuraHealth AG - Opportunity,Sales Pipeline,False,False,12000,,2025-06-18 20:02:00,1006931,newbusiness,EUR,2025-06-18 20:02:00,2025-08-30 20:02:00,2025-09-08 20:02:00,,2025-09-09 20:02:00,,
20012222,Kardiomed S.L. - Opportunity,Sales Pipeline,False,False,5000,,2025-08-14 09:20:36,1007199,newbusiness,EUR,2025-08-14 09:20:36,2025-09-30 09:20:36,2025-10-24 09:20:36,2025-11-14 09:20:36,2025-11-30 09:20:36,,
20012606,LumosDx d.o.o. - Opportunity,Sales Pipeline,False,False,12000,,2025-12-10 07:41:55,1007471,newbusiness,EUR,2025-12-10 07:41:55,2025-12-27 07:41:55,2026-02-26 07:41:55,,,,
20012715,MorphoSurg SE - Opportunity,Sales Pipeline,False,False,10000,,2025-08-23 13:12:59,1007598,newbusiness,EUR,2025-08-23 13:12:59,2025-09-11 13:12:59,2025-11-08 13:12:59,2025-12-05 13:12:59,,,
20012866,NeuroLink S.r.l. - Opportunity,Sales Pipeline,False,False,25000,,2026-01-07 08:19:51,1007744,newbusiness,EUR,2026-01-07 08:19:51,2026-03-04 08:19:51,2026-03-08 08:19:51,,,,
20013220,OptiVision S.r.l. - Opportunity,Sales Pipeline,False,False,5000,,2025-12-26 00:24:13,1007869,newbusiness,EUR,,2025-12-26 00:24:13,2026-01-08 00:24:13,,,,
20013535,ProBioMed GmbH - Opportunity,Sales Pipeline,False,False,25000,,2025-08-18 01:38:40,1008011,newbusiness,EUR,2025-08-18 01:38:40,2025-10-11 01:38:40,,,,,
20013995,QuantumCare Ltd - Opportunity,Sales Pipeline,False,False,10000,,2025-12-22 04:26:29,1008208,newbusiness,EUR,2025-12-22 04:26:29,2026-01-09 04:26:29,2026-02-22 04:26:29,2026-03-10 04:26:29,,,
20014284,RoboSurg SAS - Opportunity,Sales Pipeline,False,False,10000,,2025-09-15 23:35:40,1008486,newbusiness,EUR,2025-09-15 23:35:40,2025-11-21 23:35:40,2025-11-24 23:35:40,,,,
20014442,SynaptiMed Oy - Opportunity,Sales Pipeline,True,False,15000,2025-06-30 01:11:07,2025-04-08 01:11:07,1008634,newbusiness,EUR,2025-04-08 01:11:07,2025-04-21 01:11:07,2025-04-30 01:11:07,2025-05-27 01:11:07,2025-06-05 01:11:07,,2025-06-21 01:11:07
20014568,TerraMed Oy - Opportunity,Sales Pipeline,True,False,20000,2026-01-18 11:47:32,2025-11-08 11:47:32,1008925,newbusiness,EUR,2025-11-08 11:47:32,2025-11-12 11:47:32,,2025-11-23 11:47:32,2025-12-26 11:47:32,,2026-01-05 11:47:32
20014909,UltraCare AG - Opportunity,Sales Pipeline,True,False,10000,2025-08-17 04:11:37,2025-06-29 04:11:37,1009065,newbusiness,EUR,2025-06-29 04:11:37,,,2025-07-11 04:11:37,2025-07-13 04:11:37,,2025-07-23 04:11:37
20015263,VivoTech AB - Opportunity,Sales Pipeline,True,False,10000,2025-11-12 18:01:35,2025-08-28 18:01:35,1009182,newbusiness,EUR,2025-08-28 18:01:35,2025-09-05 18:01:35,2025-09-11 18:01:35,2025-09-23 18:01:35,2025-09-26 18:01:35,,2025-09-28 18:01:35
20015735,WavePoint AB - Opportunity,Sales Pipeline,True,False,10000,2026-02-09 08:33:04,2025-11-26 08:33:04,1009430,newbusiness,EUR,,2025-11-26 08:33:04,,2025-12-23 08:33:04,2026-01-06 08:33:04,,2026-02-08 08:33:04
20015978,XcelMed d.o.o. - Opportunity,Sales Pipeline,True,False,10000,2025-10-13 22:23:49,2025-08-23 22:23:49,1009663,newbusiness,EUR,2025-08-23 22:23:49,,2025-09-11 22:23:49,2025-09-25 22:23:49,2025-09-27 22:23:49,,2025-10-05 22:23:49
20016232,YieldBio Ltd - Opportunity,Sales Pipeline,True,False,20000,2025-07-02 23:51:13,2025-04-12 23:51:13,1009824,newbusiness,EUR,,2025-04-12 23:51:13,,,2025-06-05 23:51:13,,2025-06-09 23:51:13
20016563,AbleMed AB - Opportunity,Sales Pipeline,True,False,15000,2026-02-07 02:56:34,2025-11-21 02:56:34,1010004,newbusiness,EUR,,2025-11-21 02:56:34,,2025-12-08 02:56:34,2025-12-25 02:56:34,,2025-12-29 02:56:34
20016893,BioCrest SE - Opportunity,Sales Pipeline,True,False,10000,2025-09-07 09:39:55,2025-08-16 09:39:55,1010129,newbusiness,EUR,2025-08-16 09:39:55,2025-08-17 09:39:55,,2025-08-24 09:39:55,2025-08-29 09:39:55,,2025-09-05 09:39:55
20017365,CerebroTech SAS - Opportunity,Sales Pipeline,True,False,15000,2026-01-05 16:21:31,2025-10-14 16:21:31,1010246,newbusiness,EUR,2025-10-14 16:21:31,2025-10-28 16:21:31,2025-11-26 16:21:31,2025-12-01 16:21:31,2025-12-03 16:21:31,,2025-12-18 16:21:31
20017561,DynaStim S.L. - Opportunity,Sales Pipeline,True,False,10000,2025-02-15 05:32:07,2025-01-08 05:32:07,1010526,newbusiness,EUR,2025-01-08 05:32:07,2025-01-19 05:32:07,2025-01-21 05:32:07,,,,2025-01-29 05:32:07
20017790,EndoVault AG - Opportunity,Sales Pipeline,True,False,15000,2025-10-03 05:03:28,2025-07-06 05:03:28,1010702,newbusiness,EUR,2025-07-06 05:03:28,2025-07-15 05:03:28,2025-07-26 05:03:28,2025-08-28 05:03:28,2025-09-11 05:03:28,,2025-09-23 05:03:28
20018072,FerroCare B.V. - Opportunity,Sales Pipeline,True,False,10000,2025-07-14 03:58:48,2025-05-04 03:58:48,1010992,newbusiness,EUR,,2025-05-04 03:58:48,2025-05-14 03:58:48,2025-05-27 03:58:48,2025-06-29 03:58:48,,2025-07-09 03:58:48
20018279,GenetiCore Ltd - Opportunity,Sales Pipeline,True,False,15000,2025-05-21 00:09:06,2025-03-23 00:09:06,1011144,newbusiness,EUR,2025-03-23 00:09:06,2025-04-02 00:09:06,2025-04-12 00:09:06,2025-05-05 00:09:06,2025-05-06 00:09:06,,2025-05-08 00:09:06
20018701,HyperMed Inc - Opportunity,Sales Pipeline,True,False,10000,2025-07-21 09:18:09,2025-05-11 09:18:09,1011267,newbusiness,EUR,2025-05-11 09:18:09,2025-05-16 09:18:09,,2025-05-30 09:18:09,2025-06-25 09:18:09,,2025-07-07 09:18:09
20019107,InfoSurg Oy - Opportunity,Sales Pipeline,True,False,10000,2025-10-31 10:37:54,2025-08-30 10:37:54,1011530,newbusiness,EUR,,2025-08-30 10:37:54,2025-09-08 10:37:54,2025-09-12 10:37:54,2025-09-27 10:37:54,,2025-10-18 10:37:54
20019337,JetStream Oy - Opportunity,Sales Pipeline,True,False,5000,2025-04-06 06:49:22,2025-02-15 06:49:22,1011773,newbusiness,EUR,,2025-02-15 06:49:22,,2025-03-02 06:49:22,2025-03-15 06:49:22,,2025-03-23 06:49:22
20019469,KryptoHealth GmbH - Opportunity,Sales Pipeline,True,False,10000,2025-07-18 10:38:35,2025-06-28 10:38:35,1011967,newbusiness,EUR,2025-06-28 10:38:35,2025-07-03 10:38:35,2025-07-05 10:38:35,2025-07-06 10:38:35,2025-07-09 10:38:35,,2025-07-10 10:38:35
20019799,LaserMed ApS - Opportunity,Sales Pipeline,True,False,20000,2025-05-19 11:27:09,2025-04-20 11:27:09,1012160,newbusiness,EUR,2025-04-20 11:27:09,,2025-05-03 11:27:09,,2025-05-11 11:27:09,,2025-05-12 11:27:09
20020261,MicroNova d.o.o. - Opportunity,Sales Pipeline,True,False,10000,2026-01-14 11:35:27,2025-11-20 11:35:27,1012430,newbusiness,EUR,,2025-11-20 11:35:27,2025-12-17 11:35:27,2025-12-29 11:35:27,,,2026-01-02 11:35:27
20020649,UniMed ApS - Opportunity,Sales Pipeline,True,False,10000,2025-11-05 07:10:03,2025-10-15 07:10:03,1040010,newbusiness,EUR,2025-10-15 07:10:03,2025-10-26 07:10:03,2025-10-31 07:10:03,2025-11-01 07:10:03,2025-11-02 07:10:03,,2025-11-04 07:10:03
20020801,GroveMed S.A. - Opportunity,Sales Pipeline,True,False,10000,2025-12-27 12:09:57,2025-11-08 12:09:57,1031567,newbusiness,EUR,,2025-11-08 12:09:57,,2025-12-17 12:09:57,,,2025-12-20 12:09:57
20021153,HaloHealth ApS - Opportunity,Sales Pipeline,True,False,5000,2025-09-26 21:08:16,2025-07-28 21:08:16,1016671,newbusiness,EUR,2025-07-28 21:08:16,2025-08-07 21:08:16,2025-08-18 21:08:16,2025-08-20 21:08:16,2025-09-02 21:08:16,,2025-09-20 21:08:16
20021572,FjordHealth AB - Opportunity,Sales Pipeline,True,False,10000,2025-07-13 06:36:53,2025-06-01 06:36:53,1027684,newbusiness,EUR,2025-06-01 06:36:53,2025-06-05 06:36:53,2025-07-01 06:36:53,2025-07-02 06:36:53,2025-07-03 06:36:53,,2025-07-07 06:36:53
20021949,EndoVault SAS - Opportunity,Sales Pipeline,True,False,15000,2025-10-25 06:50:12,2025-10-16 06:50:12,1046520,newbusiness,EUR,,2025-10-16 06:50:12,,2025-10-19 06:50:12,2025-10-23 06:50:12,,2025-10-24 06:50:12
20022349,WisdomHealth Oy - Opportunity,Sales Pipeline,True,False,5000,2025-12-13 01:53:58,2025-11-21 01:53:58,1020144,newbusiness,EUR,2025-11-21 01:53:58,2025-11-28 01:53:58,,,,,2025-12-04 01:53:58
20022827,QuestBio d.o.o. - Opportunity,Sales Pipeline,True,False,5000,2025-07-29 03:19:52,2025-06-12 03:19:52,1024550,newbusiness,EUR,2025-06-12 03:19:52,2025-06-21 03:19:52,,2025-06-29 03:19:52,2025-07-24 03:19:52,,2025-07-26 03:19:52
20023212,LifeLink S.L. - Opportunity,Sales Pipeline,True,False,10000,2025-09-18 05:16:36,2025-07-31 05:16:36,1038153,newbusiness,EUR,2025-07-31 05:16:36,2025-08-05 05:16:36,,2025-09-11 05:16:36,2025-09-13 05:16:36,,2025-09-14 05:16:36
20023554,BrightPath Ltd - Opportunity,Sales Pipeline,True,False,10000,2025-08-21 20:52:13,2025-07-31 20:52:13,1015264,newbusiness,EUR,2025-07-31 20:52:13,,2025-08-06 20:52:13,2025-08-16 20:52:13,2025-08-17 20:52:13,,2025-08-20 20:52:13
20023994,GlacierMed ApS - Opportunity,Sales Pipeline,True,False,10000,2025-05-20 20:16:47,2025-05-01 20:16:47,1027940,newbusiness,EUR,2025-05-01 20:16:47,2025-05-02 20:16:47,2025-05-05 20:16:47,2025-05-09 20:16:47,2025-05-12 20:16:47,,2025-05-13 20:16:47
20024221,QualiTech d.o.o. - Opportunity,Sales Pipeline,True,False,10000,2025-11-05 17:38:37,2025-10-12 17:38:37,1039202,newbusiness,EUR,2025-10-12 17:38:37,2025-10-19 17:38:37,2025-10-24 17:38:37,2025-10-27 17:38:37,,,2025-10-29 17:38:37
20024374,WillowBio ApS - Opportunity,Sales Pipeline,True,False,15000,2025-12-06 07:10:11,2025-11-01 07:10:11,1030714,newbusiness,EUR,2025-11-01 07:10:11,,2025-11-22 07:10:11,,2025-11-23 07:10:11,,2025-11-27 07:10:11
20024717,ReefHealth Ltd - Opportunity,Sales Pipeline,True,False,10000,2025-11-16 14:02:17,2025-10-21 14:02:17,1032492,newbusiness,EUR,,,2025-10-21 14:02:17,2025-11-12 14:02:17,,,2025-11-14 14:02:17
20024887,NexGenMed SAS - Opportunity,Sales Pipeline,True,False,15000,2025-03-21 21:02:43,2025-03-05 21:02:43,1018002,newbusiness,EUR,,,2025-03-05 21:02:43,2025-03-13 21:02:43,2025-03-15 21:02:43,,2025-03-20 21:02:43
20025042,KaleidoHealth ApS - Opportunity,Sales Pipeline,True,False,15000,2025-12-13 15:20:43,2025-11-29 15:20:43,1023258,newbusiness,EUR,2025-11-29 15:20:43,2025-12-07 15:20:43,,2025-12-11 15:20:43,,,2025-12-12 15:20:43
